arm,seed,pretraining_tokens,validation_loss,rl_slope_per_log10_update,pass_at_1_update_60,model_elapsed_seconds,run_id
short,20260720,9176672,1.04571962,0.03716121,0.08125,64.020,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260721,9176672,1.03059161,0.02613578,0.06875,64.387,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260722,9176672,1.03782117,0.01572979,0.06875,64.379,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260723,9176672,1.03676522,0.05430444,0.07500,64.374,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260724,9176672,1.02279603,0.04205928,0.12500,66.464,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260725,9176672,1.03188181,0.01225474,0.03125,63.761,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260726,9176672,1.01396275,0.05451730,0.15625,65.885,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20260727,9176672,1.03248823,0.02939796,0.05000,63.610,f3b5c654-f10c-425c-a487-c28f7d78d64a
long,20260720,36704319,0.87007725,0.03756779,0.10625,155.981,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260721,36704319,0.87347150,0.05389786,0.12500,158.399,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260722,36704319,0.87155890,0.08513499,0.14375,161.573,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260723,36704319,0.86512798,0.03062727,0.05625,162.946,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260724,36704319,0.87110144,0.08738074,0.16875,156.656,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260725,36704319,0.88014382,0.02531305,0.06250,157.190,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260726,36704319,0.86857718,0.08329582,0.18750,156.325,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20260727,36704319,0.87519014,0.07349970,0.10625,164.109,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
