arm,update,mean_pass_at_1,seed_standard_error,n_seeds,run_id
short,0,0.03984375,0.01126348,8,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,5,0.04296875,0.01039386,8,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,10,0.04609375,0.01069159,8,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,20,0.05078125,0.00998307,8,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,40,0.06484375,0.01407180,8,f3b5c654-f10c-425c-a487-c28f7d78d64a
short,60,0.08203125,0.01424424,8,f3b5c654-f10c-425c-a487-c28f7d78d64a
long,0,0.05703125,0.00991295,8,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,5,0.05859375,0.00987771,8,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,10,0.06171875,0.00910608,8,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,20,0.07890625,0.01436614,8,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,40,0.10625000,0.01507977,8,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
long,60,0.11953125,0.01651220,8,ac8aae93-ff95-4f21-a250-d7a3df1ba9ed
